localizacao,nivel_urgencia,tipo_situacao,pessoas_envolvidas
"Avenida Santa Rita, 2001, Florianópolis - SC",Médio,Roubo (sem arma),Múltiplas pessoas
"Alameda da República, 1016, Recife - PE",Baixo,Briga doméstica,Mulher
"Praça Brasil, 22, Salvador - BA",Baixo,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Travessa Dom Pedro II, 747, São Paulo - SP",Médio,Roubo (sem arma),Mulher
"Alameda Duque de Caxias, 2130, Fortaleza - CE",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Praça Barão do Rio Branco, 1063, Fortaleza - CE",Alto,Incêndio,Múltiplas pessoas
"Travessa Marechal Deodoro, 1230, Florianópolis - SC",Baixo,Vandalismo,N/A (Ex: Incêndio)
"Travessa Primeiro de Maio, 1664, Florianópolis - SC",Médio,Furto,Grupo de homens
"Rua Primeiro de Maio, 1999, Manaus - AM",Médio,Roubo (sem arma),Idoso
"Alameda São José, 1545, Manaus - AM",Médio,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Estrada da Paz, 915, São Paulo - SP",Baixo,Briga doméstica,Suspeito(s) em fuga
"Estrada das Flores, 1484, Salvador - BA",Médio,Furto,Múltiplas pessoas
"Avenida das Flores, 2462, Manaus - AM",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Alameda XV de Novembro, 669, Belo Horizonte - MG",Médio,Desaparecimento,Grupo de homens
"Praça Sete de Setembro, 151, Rio de Janeiro - RJ",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Rua da República, 733, Fortaleza - CE",Médio,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Avenida Duque de Caxias, 329, Salvador - BA",Baixo,Agressão física,Grupo de homens
"Alameda das Flores, 2194, Porto Alegre - RS",Médio,Incêndio,Casal
"Estrada da República, 1573, Goiânia - GO",Baixo,Perturbação do sossego,N/A (Ex: Incêndio)
"Travessa do Sol, 1155, Manaus - AM",Alto,Desaparecimento,Criança
"Rua Santos Dumont, 1154, Rio de Janeiro - RJ",Alto,Vandalismo,Múltiplas pessoas
"Travessa da República, 1878, Belo Horizonte - MG",Alto,Agressão física,Suspeito(s) em fuga
"Praça Brasil, 532, Recife - PE",Baixo,Roubo (sem arma),Vítima não identificada
"Avenida do Sol, 2400, Fortaleza - CE",Baixo,Incêndio,Casal
"Rua Sete de Setembro, 1413, Fortaleza - CE",Baixo,Agressão física,Múltiplas pessoas
"Alameda Sete de Setembro, 177, Curitiba - PR",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Alameda da República, 689, Brasília - DF",Baixo,Desaparecimento,Grupo de homens
"Travessa Barão do Rio Branco, 2333, Brasília - DF",Médio,Incêndio,Casal
"Praça Dom Pedro II, 355, Manaus - AM",Médio,Atividade suspeita,Homem
"Travessa Primeiro de Maio, 1628, Belo Horizonte - MG",Alto,Acidente de trânsito sem vítima,Grupo de homens
"Alameda da Paz, 534, Rio de Janeiro - RJ",Alto,Briga doméstica,Criança
"Praça Duque de Caxias, 2410, São Paulo - SP",Médio,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Rua XV de Novembro, 799, Salvador - BA",Baixo,Agressão física,Casal
"Avenida Dom Pedro II, 858, São Paulo - SP",Baixo,Perturbação do sossego,Idoso
"Travessa Duque de Caxias, 1064, Curitiba - PR",Alto,Acidente de trânsito sem vítima,N/A (Ex: Incêndio)
"Travessa Tiradentes, 1279, São Paulo - SP",Médio,Atividade suspeita,Grupo de homens
"Alameda Sete de Setembro, 1696, Florianópolis - SC",Baixo,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Estrada Marechal Deodoro, 1626, Salvador - BA",Baixo,Assalto a mão armada,Mulher
"Alameda Duque de Caxias, 2332, Belo Horizonte - MG",Alto,Atividade suspeita,N/A (Ex: Incêndio)
"Alameda Santos Dumont, 1162, Goiânia - GO",Médio,Agressão física,Criança
"Estrada Primeiro de Maio, 926, São Paulo - SP",Médio,Desaparecimento,Casal
"Alameda da Paz, 977, Porto Alegre - RS",Médio,Alarme disparado,Mulher
"Travessa da Paz, 452, Salvador - BA",Alto,Incêndio,Grupo de homens
"Praça XV de Novembro, 1979, Florianópolis - SC",Alto,Atividade suspeita,Criança
"Estrada Sete de Setembro, 922, Curitiba - PR",Baixo,Vandalismo,Suspeito(s) em fuga
"Alameda Santa Rita, 1314, Recife - PE",Médio,Atividade suspeita,Suspeito(s) em fuga
"Estrada Dom Pedro II, 904, Porto Alegre - RS",Baixo,Roubo (sem arma),Mulher
"Estrada Tiradentes, 1793, Porto Alegre - RS",Alto,Acidente de trânsito com vítima,Mulher
"Alameda Primeiro de Maio, 102, Fortaleza - CE",Médio,Briga doméstica,Mulher
"Travessa do Sol, 369, Brasília - DF",Alto,Acidente de trânsito com vítima,Mulher
"Avenida Santa Rita, 2434, Rio de Janeiro - RJ",Médio,Incêndio,Criança
"Travessa do Sol, 763, Florianópolis - SC",Médio,Briga doméstica,Suspeito(s) em fuga
"Travessa do Sol, 278, São Paulo - SP",Médio,Alarme disparado,Múltiplas pessoas
"Travessa Marechal Deodoro, 1613, Fortaleza - CE",Médio,Acidente de trânsito com vítima,Mulher
"Rua da Paz, 680, Brasília - DF",Médio,Agressão física,Vítima não identificada
"Estrada Barão do Rio Branco, 911, Salvador - BA",Baixo,Perturbação do sossego,Suspeito(s) em fuga
"Alameda Duque de Caxias, 896, São Paulo - SP",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Rua Marechal Deodoro, 414, Manaus - AM",Alto,Furto,Múltiplas pessoas
"Praça Marechal Deodoro, 1767, Manaus - AM",Baixo,Acidente de trânsito com vítima,Vítima não identificada
"Estrada São José, 1475, São Paulo - SP",Alto,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Rua São José, 789, Goiânia - GO",Baixo,Vandalismo,Grupo de homens
"Alameda da República, 1928, Curitiba - PR",Baixo,Maus tratos a animais,Casal
"Praça Dom Pedro II, 1699, São Paulo - SP",Alto,Acidente de trânsito sem vítima,Idoso
"Estrada da República, 2030, Salvador - BA",Baixo,Perturbação do sossego,Vítima não identificada
"Praça Dom Pedro II, 510, Belo Horizonte - MG",Alto,Desaparecimento,Múltiplas pessoas
"Avenida da Paz, 2412, Curitiba - PR",Médio,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Estrada da Paz, 2267, Fortaleza - CE",Baixo,Roubo (sem arma),Casal
"Alameda Primeiro de Maio, 2250, Florianópolis - SC",Baixo,Desaparecimento,N/A (Ex: Incêndio)
"Rua Tiradentes, 499, São Paulo - SP",Médio,Atividade suspeita,Homem
"Rua Duque de Caxias, 2454, Porto Alegre - RS",Baixo,Desaparecimento,N/A (Ex: Incêndio)
"Praça Duque de Caxias, 2120, Florianópolis - SC",Médio,Agressão física,Criança
"Estrada Primeiro de Maio, 266, Curitiba - PR",Médio,Incêndio,Múltiplas pessoas
"Alameda Dom Pedro II, 2305, Florianópolis - SC",Alto,Furto,Vítima não identificada
"Estrada Dom Pedro II, 966, Florianópolis - SC",Alto,Assalto a mão armada,Suspeito(s) em fuga
"Praça Primeiro de Maio, 2038, Belo Horizonte - MG",Baixo,Furto,N/A (Ex: Incêndio)
"Travessa Dom Pedro II, 410, Goiânia - GO",Alto,Maus tratos a animais,N/A (Ex: Incêndio)
"Travessa do Sol, 244, Florianópolis - SC",Alto,Acidente de trânsito sem vítima,Casal
"Alameda do Sol, 1354, São Paulo - SP",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Rua da República, 755, Porto Alegre - RS",Baixo,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Alameda Dom Pedro II, 128, São Paulo - SP",Médio,Furto,Mulher
"Rua das Flores, 455, Rio de Janeiro - RJ",Baixo,Furto,Casal
"Alameda das Flores, 1098, Curitiba - PR",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Alameda XV de Novembro, 1408, Salvador - BA",Alto,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Praça XV de Novembro, 1578, Rio de Janeiro - RJ",Baixo,Incêndio,Vítima não identificada
"Alameda Brasil, 905, Rio de Janeiro - RJ",Alto,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Travessa Barão do Rio Branco, 1038, Recife - PE",Médio,Incêndio,Casal
"Alameda São José, 898, Salvador - BA",Médio,Maus tratos a animais,Criança
"Rua Primeiro de Maio, 749, São Paulo - SP",Baixo,Maus tratos a animais,Mulher
"Avenida da Paz, 2309, Porto Alegre - RS",Baixo,Atividade suspeita,N/A (Ex: Incêndio)
"Praça Brasil, 1772, Belo Horizonte - MG",Médio,Furto,Suspeito(s) em fuga
"Avenida Barão do Rio Branco, 147, Porto Alegre - RS",Baixo,Acidente de trânsito com vítima,Mulher
"Avenida da República, 264, Curitiba - PR",Baixo,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Avenida Dom Pedro II, 461, Goiânia - GO",Alto,Furto,Suspeito(s) em fuga
"Avenida Santos Dumont, 239, Porto Alegre - RS",Baixo,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Praça Duque de Caxias, 1575, Recife - PE",Médio,Acidente de trânsito sem vítima,"Família (Homem, Mulher, Criança)"
"Travessa São José, 1539, Curitiba - PR",Médio,Briga doméstica,Vítima não identificada
"Rua Brasil, 1396, Florianópolis - SC",Baixo,Desaparecimento,Homem
"Travessa Brasil, 1259, Fortaleza - CE",Baixo,Perturbação do sossego,Mulher
"Praça Brasil, 1599, Recife - PE",Médio,Vandalismo,Grupo de homens
"Estrada Tiradentes, 43, Brasília - DF",Médio,Briga doméstica,Mulher
"Travessa Primeiro de Maio, 2101, Rio de Janeiro - RJ",Alto,Alarme disparado,Vítima não identificada
"Estrada São José, 1557, Recife - PE",Baixo,Vandalismo,N/A (Ex: Incêndio)
"Avenida Dom Pedro II, 158, Belo Horizonte - MG",Alto,Maus tratos a animais,"Família (Homem, Mulher, Criança)"
"Rua Tiradentes, 2297, Recife - PE",Baixo,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Estrada Sete de Setembro, 1783, Recife - PE",Alto,Furto,Grupo de homens
"Praça Tiradentes, 2477, Goiânia - GO",Alto,Maus tratos a animais,Idoso
"Avenida Barão do Rio Branco, 1102, Belo Horizonte - MG",Baixo,Acidente de trânsito com vítima,Criança
"Rua Tiradentes, 1955, Belo Horizonte - MG",Médio,Briga doméstica,Mulher
"Avenida Barão do Rio Branco, 808, Curitiba - PR",Alto,Furto,Vítima não identificada
"Praça Sete de Setembro, 773, São Paulo - SP",Médio,Vandalismo,Criança
"Praça Dom Pedro II, 1530, Manaus - AM",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Rua das Flores, 1216, Brasília - DF",Baixo,Atividade suspeita,Vítima não identificada
"Avenida Duque de Caxias, 2252, Rio de Janeiro - RJ",Médio,Agressão física,Casal
"Praça Duque de Caxias, 1915, Goiânia - GO",Médio,Briga doméstica,Grupo de homens
"Travessa Marechal Deodoro, 1594, Rio de Janeiro - RJ",Médio,Alarme disparado,Múltiplas pessoas
"Avenida do Sol, 1539, Brasília - DF",Médio,Atividade suspeita,Vítima não identificada
"Rua São José, 1595, São Paulo - SP",Baixo,Desaparecimento,Casal
"Alameda São José, 918, Recife - PE",Baixo,Acidente de trânsito com vítima,Vítima não identificada
"Alameda do Sol, 1333, Rio de Janeiro - RJ",Alto,Desaparecimento,Vítima não identificada
"Rua Santos Dumont, 1719, Salvador - BA",Baixo,Atividade suspeita,Vítima não identificada
"Avenida Brasil, 2249, Fortaleza - CE",Médio,Briga doméstica,N/A (Ex: Incêndio)
"Rua Dom Pedro II, 1598, Porto Alegre - RS",Alto,Roubo (sem arma),Homem
"Rua Barão do Rio Branco, 724, Florianópolis - SC",Baixo,Desaparecimento,Homem
"Rua XV de Novembro, 571, Brasília - DF",Alto,Roubo (sem arma),Vítima não identificada
"Estrada Barão do Rio Branco, 1916, Salvador - BA",Alto,Agressão física,"Família (Homem, Mulher, Criança)"
"Avenida São José, 2343, Florianópolis - SC",Baixo,Perturbação do sossego,Múltiplas pessoas
"Rua Primeiro de Maio, 987, Florianópolis - SC",Baixo,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Estrada da Paz, 921, Salvador - BA",Médio,Roubo (sem arma),Vítima não identificada
"Avenida das Flores, 1390, Recife - PE",Médio,Atividade suspeita,Criança
"Rua do Sol, 523, Goiânia - GO",Médio,Roubo (sem arma),Suspeito(s) em fuga
"Avenida São José, 136, Manaus - AM",Médio,Assalto a mão armada,Mulher
"Praça das Flores, 474, Rio de Janeiro - RJ",Baixo,Agressão física,Múltiplas pessoas
"Travessa Dom Pedro II, 1501, Manaus - AM",Alto,Incêndio,"Família (Homem, Mulher, Criança)"
"Travessa São José, 562, Curitiba - PR",Médio,Assalto a mão armada,Múltiplas pessoas
"Avenida Marechal Deodoro, 2417, Belo Horizonte - MG",Baixo,Furto,Mulher
"Travessa Tiradentes, 795, Goiânia - GO",Baixo,Assalto a mão armada,Casal
"Avenida Sete de Setembro, 80, Recife - PE",Alto,Roubo (sem arma),Suspeito(s) em fuga
"Rua Primeiro de Maio, 1110, Manaus - AM",Médio,Perturbação do sossego,Idoso
"Estrada Santos Dumont, 1169, Porto Alegre - RS",Baixo,Acidente de trânsito sem vítima,Grupo de homens
"Estrada Santos Dumont, 1843, Goiânia - GO",Médio,Agressão física,Mulher
"Alameda da Paz, 283, Manaus - AM",Médio,Furto,Homem
"Rua São José, 86, Goiânia - GO",Baixo,Vandalismo,Grupo de homens
"Avenida da Paz, 294, Recife - PE",Alto,Vandalismo,Casal
"Travessa da República, 2056, Salvador - BA",Médio,Desaparecimento,Vítima não identificada
"Estrada Brasil, 630, Porto Alegre - RS",Médio,Desaparecimento,Suspeito(s) em fuga
"Avenida Santa Rita, 2395, Curitiba - PR",Médio,Perturbação do sossego,Idoso
"Alameda Primeiro de Maio, 1054, Curitiba - PR",Médio,Incêndio,Vítima não identificada
"Praça do Sol, 1994, São Paulo - SP",Baixo,Desaparecimento,Casal
"Praça Santa Rita, 1634, Fortaleza - CE",Baixo,Vandalismo,Casal
"Rua das Flores, 540, Salvador - BA",Alto,Atividade suspeita,Vítima não identificada
"Alameda Marechal Deodoro, 2138, Curitiba - PR",Baixo,Desaparecimento,Mulher
"Praça Santa Rita, 1416, Fortaleza - CE",Baixo,Agressão física,Casal
"Praça Santa Rita, 2216, Florianópolis - SC",Médio,Perturbação do sossego,Vítima não identificada
"Avenida do Sol, 1171, Belo Horizonte - MG",Médio,Alarme disparado,Casal
"Praça Santa Rita, 2077, Porto Alegre - RS",Médio,Alarme disparado,Suspeito(s) em fuga
"Estrada Marechal Deodoro, 1066, Belo Horizonte - MG",Baixo,Vandalismo,Múltiplas pessoas
"Praça XV de Novembro, 917, Belo Horizonte - MG",Médio,Alarme disparado,Idoso
"Praça da Paz, 1168, Fortaleza - CE",Alto,Vandalismo,N/A (Ex: Incêndio)
"Alameda XV de Novembro, 1875, São Paulo - SP",Médio,Assalto a mão armada,Suspeito(s) em fuga
"Praça das Flores, 2429, Porto Alegre - RS",Médio,Perturbação do sossego,Grupo de homens
"Alameda Dom Pedro II, 669, Recife - PE",Alto,Agressão física,Idoso
"Estrada Barão do Rio Branco, 1450, Goiânia - GO",Baixo,Acidente de trânsito sem vítima,Grupo de homens
"Rua Tiradentes, 784, Florianópolis - SC",Alto,Vandalismo,Vítima não identificada
"Rua Marechal Deodoro, 1671, Belo Horizonte - MG",Baixo,Roubo (sem arma),Casal
"Rua Tiradentes, 1227, Curitiba - PR",Médio,Maus tratos a animais,Vítima não identificada
"Travessa Barão do Rio Branco, 1022, Rio de Janeiro - RJ",Alto,Atividade suspeita,Mulher
"Rua São José, 1840, Belo Horizonte - MG",Médio,Briga doméstica,Homem
"Rua Dom Pedro II, 1872, Brasília - DF",Baixo,Vandalismo,Casal
"Travessa Dom Pedro II, 610, Belo Horizonte - MG",Médio,Assalto a mão armada,Criança
"Travessa da República, 1729, Fortaleza - CE",Baixo,Vandalismo,Vítima não identificada
"Rua XV de Novembro, 1945, Porto Alegre - RS",Alto,Briga doméstica,N/A (Ex: Incêndio)
"Avenida Santa Rita, 2442, Manaus - AM",Alto,Furto,N/A (Ex: Incêndio)
"Alameda Marechal Deodoro, 675, Belo Horizonte - MG",Baixo,Acidente de trânsito com vítima,Criança
"Estrada Duque de Caxias, 1321, Manaus - AM",Baixo,Acidente de trânsito sem vítima,Suspeito(s) em fuga
"Praça da Paz, 2347, Goiânia - GO",Baixo,Roubo (sem arma),N/A (Ex: Incêndio)
"Rua Brasil, 896, Goiânia - GO",Baixo,Perturbação do sossego,Suspeito(s) em fuga
"Travessa Barão do Rio Branco, 944, Belo Horizonte - MG",Médio,Alarme disparado,Criança
"Estrada Santos Dumont, 2238, Belo Horizonte - MG",Baixo,Agressão física,Mulher
"Avenida XV de Novembro, 1512, Goiânia - GO",Médio,Acidente de trânsito sem vítima,Vítima não identificada
"Alameda Duque de Caxias, 1282, Manaus - AM",Médio,Perturbação do sossego,N/A (Ex: Incêndio)
"Travessa Santa Rita, 2407, Florianópolis - SC",Médio,Vandalismo,N/A (Ex: Incêndio)
"Rua da República, 828, Manaus - AM",Médio,Perturbação do sossego,Casal
"Praça Santos Dumont, 467, Recife - PE",Alto,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Alameda Barão do Rio Branco, 799, Salvador - BA",Médio,Roubo (sem arma),Casal
"Alameda Primeiro de Maio, 795, Salvador - BA",Baixo,Roubo (sem arma),Homem
"Estrada Barão do Rio Branco, 1300, Fortaleza - CE",Baixo,Desaparecimento,Suspeito(s) em fuga
"Alameda São José, 2178, Goiânia - GO",Alto,Alarme disparado,Suspeito(s) em fuga
"Avenida Duque de Caxias, 2239, Brasília - DF",Baixo,Maus tratos a animais,N/A (Ex: Incêndio)
"Alameda Sete de Setembro, 1212, Recife - PE",Alto,Furto,Suspeito(s) em fuga
"Estrada Santos Dumont, 1568, Salvador - BA",Médio,Briga doméstica,Grupo de homens
"Alameda Primeiro de Maio, 2150, Florianópolis - SC",Alto,Vandalismo,Mulher
"Alameda das Flores, 1333, Florianópolis - SC",Médio,Vandalismo,Múltiplas pessoas
"Estrada Brasil, 2434, Fortaleza - CE",Médio,Assalto a mão armada,Grupo de homens
"Travessa Dom Pedro II, 1634, São Paulo - SP",Baixo,Atividade suspeita,Grupo de homens
"Rua Tiradentes, 819, Recife - PE",Médio,Briga doméstica,Grupo de homens
"Travessa São José, 1167, Recife - PE",Médio,Alarme disparado,Vítima não identificada
"Alameda das Flores, 1311, Recife - PE",Alto,Alarme disparado,Vítima não identificada
"Travessa Tiradentes, 1125, Salvador - BA",Médio,Acidente de trânsito sem vítima,Criança
"Praça Dom Pedro II, 126, São Paulo - SP",Alto,Acidente de trânsito com vítima,Casal
"Avenida Tiradentes, 608, Rio de Janeiro - RJ",Médio,Perturbação do sossego,N/A (Ex: Incêndio)
"Travessa Primeiro de Maio, 920, Brasília - DF",Médio,Briga doméstica,Homem
"Praça Santos Dumont, 1759, Florianópolis - SC",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Estrada Duque de Caxias, 1455, Florianópolis - SC",Baixo,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Alameda Barão do Rio Branco, 822, Recife - PE",Médio,Roubo (sem arma),Homem
"Alameda São José, 1330, Manaus - AM",Médio,Atividade suspeita,N/A (Ex: Incêndio)
"Praça Duque de Caxias, 892, Rio de Janeiro - RJ",Baixo,Briga doméstica,Mulher
"Rua do Sol, 1853, Fortaleza - CE",Baixo,Incêndio,N/A (Ex: Incêndio)
"Estrada Marechal Deodoro, 201, Florianópolis - SC",Médio,Acidente de trânsito sem vítima,Idoso
"Rua Santos Dumont, 266, Porto Alegre - RS",Alto,Acidente de trânsito sem vítima,Homem
"Praça Sete de Setembro, 757, Goiânia - GO",Médio,Maus tratos a animais,Casal
"Travessa São José, 1590, São Paulo - SP",Alto,Atividade suspeita,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 1314, Curitiba - PR",Médio,Maus tratos a animais,N/A (Ex: Incêndio)
"Praça do Sol, 25, Fortaleza - CE",Baixo,Acidente de trânsito com vítima,Grupo de homens
"Estrada Sete de Setembro, 1699, Curitiba - PR",Médio,Desaparecimento,Homem
"Alameda da República, 204, Salvador - BA",Alto,Desaparecimento,Múltiplas pessoas
"Avenida Tiradentes, 1951, Brasília - DF",Médio,Alarme disparado,Suspeito(s) em fuga
"Estrada Sete de Setembro, 561, Curitiba - PR",Médio,Acidente de trânsito sem vítima,Múltiplas pessoas
"Estrada Duque de Caxias, 569, Manaus - AM",Baixo,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Estrada Primeiro de Maio, 2439, Porto Alegre - RS",Baixo,Alarme disparado,"Família (Homem, Mulher, Criança)"
"Alameda da República, 2468, Recife - PE",Alto,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Estrada Marechal Deodoro, 1997, Rio de Janeiro - RJ",Alto,Acidente de trânsito com vítima,Homem
"Travessa Primeiro de Maio, 1140, Curitiba - PR",Alto,Briga doméstica,N/A (Ex: Incêndio)
"Travessa São José, 1735, São Paulo - SP",Médio,Acidente de trânsito com vítima,Suspeito(s) em fuga
"Praça da Paz, 2366, Belo Horizonte - MG",Baixo,Roubo (sem arma),Múltiplas pessoas
"Travessa Santos Dumont, 1972, Brasília - DF",Médio,Agressão física,"Família (Homem, Mulher, Criança)"
"Praça Primeiro de Maio, 723, Porto Alegre - RS",Alto,Maus tratos a animais,Grupo de homens
"Avenida da República, 322, Recife - PE",Alto,Maus tratos a animais,Criança
"Alameda da República, 2299, Belo Horizonte - MG",Alto,Agressão física,Homem
"Estrada Primeiro de Maio, 1597, Porto Alegre - RS",Alto,Furto,Casal
"Travessa Santa Rita, 2197, São Paulo - SP",Alto,Desaparecimento,Suspeito(s) em fuga
"Avenida Marechal Deodoro, 1820, Goiânia - GO",Baixo,Desaparecimento,Mulher
"Avenida do Sol, 1721, São Paulo - SP",Baixo,Perturbação do sossego,Criança
"Rua Dom Pedro II, 364, Salvador - BA",Baixo,Perturbação do sossego,"Família (Homem, Mulher, Criança)"
"Travessa São José, 1824, Belo Horizonte - MG",Alto,Assalto a mão armada,Mulher
"Travessa Marechal Deodoro, 313, Goiânia - GO",Médio,Incêndio,Mulher
"Estrada Primeiro de Maio, 1022, Porto Alegre - RS",Alto,Alarme disparado,N/A (Ex: Incêndio)
"Estrada Barão do Rio Branco, 2299, Salvador - BA",Alto,Desaparecimento,Mulher
"Travessa XV de Novembro, 969, Brasília - DF",Alto,Acidente de trânsito com vítima,Criança
"Alameda Sete de Setembro, 2214, Belo Horizonte - MG",Baixo,Agressão física,Grupo de homens
"Praça Santos Dumont, 925, Rio de Janeiro - RJ",Médio,Desaparecimento,Grupo de homens
"Praça Marechal Deodoro, 638, Porto Alegre - RS",Baixo,Acidente de trânsito com vítima,Casal
"Avenida Marechal Deodoro, 28, Salvador - BA",Médio,Maus tratos a animais,Vítima não identificada
"Praça XV de Novembro, 2255, Belo Horizonte - MG",Médio,Assalto a mão armada,N/A (Ex: Incêndio)
"Praça XV de Novembro, 80, Recife - PE",Médio,Briga doméstica,Mulher
"Praça Barão do Rio Branco, 512, Curitiba - PR",Baixo,Assalto a mão armada,Suspeito(s) em fuga
"Rua da República, 46, Porto Alegre - RS",Médio,Roubo (sem arma),N/A (Ex: Incêndio)
"Travessa Santa Rita, 951, Porto Alegre - RS",Médio,Alarme disparado,Vítima não identificada
"Rua Primeiro de Maio, 1813, Belo Horizonte - MG",Alto,Briga doméstica,"Família (Homem, Mulher, Criança)"
"Avenida do Sol, 1254, Salvador - BA",Médio,Assalto a mão armada,Múltiplas pessoas
"Praça Sete de Setembro, 1431, Goiânia - GO",Baixo,Furto,Criança
"Travessa Santa Rita, 2086, São Paulo - SP",Alto,Assalto a mão armada,Homem
"Rua Dom Pedro II, 1474, Belo Horizonte - MG",Baixo,Acidente de trânsito com vítima,Múltiplas pessoas
"Estrada Sete de Setembro, 1683, Florianópolis - SC",Médio,Acidente de trânsito com vítima,Vítima não identificada
"Travessa da República, 2167, São Paulo - SP",Médio,Desaparecimento,Idoso
"Rua Duque de Caxias, 227, Salvador - BA",Baixo,Agressão física,"Família (Homem, Mulher, Criança)"
"Avenida da Paz, 259, Goiânia - GO",Baixo,Perturbação do sossego,Casal
"Praça XV de Novembro, 2171, Porto Alegre - RS",Baixo,Incêndio,"Família (Homem, Mulher, Criança)"
"Estrada da República, 494, Curitiba - PR",Alto,Incêndio,Casal
"Rua do Sol, 1233, Salvador - BA",Médio,Acidente de trânsito com vítima,Criança
"Rua Barão do Rio Branco, 2317, Goiânia - GO",Alto,Agressão física,Múltiplas pessoas
"Avenida da República, 934, Goiânia - GO",Médio,Atividade suspeita,Idoso
"Alameda Sete de Setembro, 420, Belo Horizonte - MG",Baixo,Perturbação do sossego,Casal
"Estrada Dom Pedro II, 1815, Goiânia - GO",Baixo,Maus tratos a animais,Grupo de homens
"Avenida Duque de Caxias, 264, Goiânia - GO",Baixo,Furto,Múltiplas pessoas
"Praça São José, 1960, Rio de Janeiro - RJ",Médio,Alarme disparado,Idoso
"Alameda Barão do Rio Branco, 2333, Belo Horizonte - MG",Baixo,Desaparecimento,Idoso
"Rua Santa Rita, 1957, Salvador - BA",Baixo,Agressão física,Criança
"Avenida São José, 2167, Florianópolis - SC",Médio,Vandalismo,"Família (Homem, Mulher, Criança)"
"Alameda Tiradentes, 1562, Fortaleza - CE",Alto,Atividade suspeita,Idoso
"Alameda do Sol, 1499, Salvador - BA",Médio,Assalto a mão armada,Vítima não identificada
"Estrada da Paz, 1118, Curitiba - PR",Médio,Acidente de trânsito sem vítima,Criança
"Avenida XV de Novembro, 177, Manaus - AM",Médio,Roubo (sem arma),Casal
"Estrada da República, 509, Manaus - AM",Alto,Agressão física,Criança
"Estrada Primeiro de Maio, 18, Manaus - AM",Alto,Furto,Casal
"Travessa Brasil, 1645, Fortaleza - CE",Baixo,Briga doméstica,Idoso
"Estrada Santa Rita, 1010, Curitiba - PR",Médio,Incêndio,Múltiplas pessoas
"Estrada Duque de Caxias, 1234, Curitiba - PR",Baixo,Maus tratos a animais,Grupo de homens
"Avenida Tiradentes, 1045, Rio de Janeiro - RJ",Médio,Assalto a mão armada,"Família (Homem, Mulher, Criança)"
"Praça Barão do Rio Branco, 2194, Florianópolis - SC",Baixo,Acidente de trânsito com vítima,Múltiplas pessoas
"Rua Duque de Caxias, 1525, Goiânia - GO",Médio,Vandalismo,Homem
"Alameda Dom Pedro II, 2327, Manaus - AM",Médio,Roubo (sem arma),Casal
"Praça Dom Pedro II, 787, Goiânia - GO",Médio,Assalto a mão armada,Casal
"Estrada da República, 206, São Paulo - SP",Médio,Briga doméstica,Vítima não identificada
"Praça da Paz, 601, Curitiba - PR",Baixo,Maus tratos a animais,Mulher
"Praça Tiradentes, 2247, Belo Horizonte - MG",Baixo,Perturbação do sossego,Grupo de homens
"Praça das Flores, 2387, Porto Alegre - RS",Médio,Desaparecimento,"Família (Homem, Mulher, Criança)"
"Rua Tiradentes, 2407, Recife - PE",Médio,Acidente de trânsito com vítima,Vítima não identificada
"Rua do Sol, 382, Salvador - BA",Médio,Maus tratos a animais,Homem
"Rua Brasil, 1509, Goiânia - GO",Alto,Atividade suspeita,N/A (Ex: Incêndio)
"Estrada Brasil, 2076, Belo Horizonte - MG",Médio,Alarme disparado,Idoso
"Avenida Dom Pedro II, 187, Recife - PE",Baixo,Acidente de trânsito com vítima,"Família (Homem, Mulher, Criança)"
"Travessa do Sol, 52, Rio de Janeiro - RJ",Alto,Alarme disparado,Idoso
